time_ms,w,a,s,d,w_down,a_down,s_down,d_down,space,ctrl,shift,mouse1,mouse2,status
67.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
68.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
69.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
70.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
71.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
72.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
73.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
74.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
75.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
76.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
77.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
78.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
79.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
80.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
81.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
82.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
83.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
84.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
85.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
86.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
87.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
88.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
89.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
90.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
91.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
92.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
93.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
94.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
95.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
96.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
97.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
98.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
99.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
100.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
101.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
102.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
103.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
104.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
105.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
106.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
107.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
108.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
109.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
110.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
111.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
112.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
113.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
114.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
115.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
116.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
117.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
118.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
119.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
120.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
121.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
122.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
123.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
124.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
125.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
126.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
127.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
128.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
129.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
130.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
131.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
132.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
133.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
134.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
135.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
136.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
137.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
138.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
139.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
140.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
141.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
142.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
143.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
144.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
145.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
146.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
147.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
148.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
149.000,0.000000,0.000000,0.000000,0.000000,false,false,false,false,false,false,false,false,false,0x0001
